date,open,high,low,close,volume,average,barCount,vix_close
2010-07-22,108.34,109.94,108.33,109.48,207706600.0,109.402,589526,24.53
2010-07-23,109.25,110.57,108.93,110.41,190200800.0,109.799,546520,23.65
2010-07-26,110.59,111.67,110.29,111.57,141273500.0,111.173,385488,22.75
2010-07-27,112.17,112.29,111.11,111.55,182713900.0,111.64,513384,23.1
2010-07-28,111.33,111.66,110.46,110.8,137653500.0,111.058,411539,24.17
2010-07-29,111.52,111.82,109.41,110.29,189716500.0,110.529,533063,23.82
2010-07-30,109.17,110.86,108.98,110.27,183098200.0,110.075,503249,23.57
2010-08-02,111.98,112.94,111.54,112.76,137824700.0,112.4,376566,22.0
2010-08-03,112.48,112.77,111.85,112.22,134323600.0,112.289,381406,22.77
2010-08-04,112.53,113.11,112.16,112.97,133084900.0,112.69,378995,22.23
2010-08-05,112.24,112.91,112.08,112.85,114082200.0,112.535,320594,22.13
2010-08-06,111.73,112.57,110.92,112.41,196670500.0,111.751,566295,21.79
2010-08-09,112.92,113.18,112.32,113.01,88503000.0,112.81,274744,22.17
2010-08-10,112.03,113.03,111.37,112.39,209372000.0,112.21,577377,22.46
2010-08-11,110.65,110.69,109.12,109.3,221819800.0,109.674,615015,25.23
2010-08-12,107.64,109.02,107.6,108.6,189065300.0,108.561,532069,25.5
2010-08-13,108.29,108.96,108.18,108.28,129682200.0,108.549,375789,26.14
2010-08-16,107.57,108.61,107.18,108.26,126708500.0,108.119,404538,25.67
2010-08-17,109.18,110.39,108.26,109.59,155193600.0,109.682,417686,24.22
2010-08-18,109.54,110.38,108.91,109.78,157206600.0,109.654,433917,24.01
2010-08-19,109.22,109.49,107.43,107.88,200156000.0,108.144,510540,26.23
2010-08-20,107.56,107.94,106.75,107.53,157214500.0,107.298,413228,25.57
2010-08-23,108.04,108.57,107.07,107.13,125584000.0,107.718,361046,25.55
2010-08-24,105.96,107.11,104.97,105.56,241696700.0,105.814,617108,27.4
2010-08-25,104.94,106.34,104.29,105.88,202416300.0,105.308,529458,26.74
2010-08-26,106.44,106.58,104.88,105.23,187451300.0,105.75,492013,27.16
2010-08-27,105.89,106.97,104.31,106.82,225938100.0,105.954,574754,24.49
2010-08-30,106.58,106.91,105.3,105.34,133059300.0,106.147,361569,26.87
2010-08-31,104.92,105.98,104.49,105.47,240592900.0,105.335,601700,26.57
2010-09-01,106.73,108.61,106.66,108.44,209679400.0,108.002,554109,24.17
2010-09-02,108.72,109.49,108.49,109.47,132785800.0,109.008,371933,23.23
2010-09-03,110.54,110.99,109.95,110.92,164395900.0,110.55,423655,21.36
2010-09-07,110.37,110.93,109.55,109.68,124236400.0,109.966,354526,23.85
2010-09-08,109.86,110.85,109.81,110.41,125908500.0,110.427,372627,23.43
2010-09-09,111.65,111.68,110.62,110.94,122474600.0,111.147,326151,22.74
2010-09-10,111.12,111.61,110.87,111.54,100168300.0,111.333,286841,21.94
2010-09-13,112.58,112.95,112.13,112.72,125569800.0,112.589,338784,21.19
2010-09-14,112.5,113.29,112.08,112.65,177073300.0,112.786,456259,21.49
2010-09-15,112.33,113.21,111.98,113.14,138747600.0,112.707,387199,22.27
2010-09-16,112.74,113.12,112.35,113.1,135389300.0,112.747,406555,22.07
2010-09-17,113.03,113.15,112.18,112.51,149920500.0,112.564,415250,21.89
2010-09-20,112.88,114.46,112.62,114.23,165031300.0,113.733,420518,21.39
2010-09-21,114.3,114.84,113.51,114.0,228864500.0,114.111,588748,22.41
2010-09-22,113.8,114.44,113.1,113.43,163673900.0,113.601,502207,22.59
2010-09-23,112.49,113.67,112.18,112.5,172535100.0,112.929,501112,24.0
2010-09-24,113.74,114.9,113.65,114.79,151279000.0,114.54,438955,21.77
2010-09-27,114.87,114.99,114.16,114.32,106574900.0,114.57,323655,22.61
2010-09-28,114.42,115.04,113.18,114.67,185086600.0,114.236,568850,22.4
2010-09-29,114.38,114.91,114.02,114.41,152634300.0,114.441,469609,23.32
2010-09-30,115.05,115.79,113.59,114.12,241314600.0,114.576,692380,23.78
2010-10-01,114.97,115.12,113.93,114.61,152794000.0,114.545,493340,22.51
2010-10-04,114.37,114.85,113.18,113.75,146389700.0,113.902,452110,23.8
2010-10-05,114.8,116.32,113.73,116.05,183376100.0,115.638,540262,21.84
2010-10-06,116.02,116.33,115.56,116.06,121859400.0,115.969,412072,21.52
2010-10-07,116.5,116.53,115.19,115.89,139116700.0,115.838,453616,21.68
2010-10-08,116.05,116.86,115.61,116.56,135616700.0,116.331,427052,20.71
2010-10-11,116.73,116.97,116.25,116.66,85207500.0,116.682,281713,18.98
2010-10-12,116.27,117.35,115.65,116.99,153081500.0,116.567,472538,18.88
2010-10-13,117.66,118.55,117.38,117.88,155104000.0,118.042,456403,19.1
2010-10-14,117.81,118.01,116.72,117.55,173784000.0,117.378,549699,20.38
2010-10-15,118.28,118.35,116.76,117.72,203255000.0,117.473,600280,19.4
2010-10-18,117.73,118.67,117.31,118.28,105024000.0,118.14,330561,18.93
2010-10-19,117.19,118.56,116.02,116.71,240296800.0,116.918,626684,20.89
2010-10-20,116.94,118.44,116.87,117.87,167117400.0,117.836,482744,19.86
2010-10-21,118.4,119.09,117.21,118.12,196240800.0,118.209,567727,19.41
2010-10-22,118.3,118.53,118.0,118.38,92817800.0,118.256,290037,18.87
2010-10-25,119.14,119.76,118.61,118.69,126436900.0,119.104,394525,19.88
2010-10-26,118.09,118.9,117.87,118.73,133068000.0,118.492,390011,20.35
2010-10-27,117.89,118.51,117.26,118.38,156130400.0,117.828,466217,20.71
2010-10-28,119.06,119.11,117.83,118.4,141572900.0,118.398,426687,20.8
2010-10-29,118.28,118.72,118.07,118.53,123926500.0,118.443,383736,21.15
2010-11-01,119.07,119.75,117.85,118.53,143596300.0,118.88,441280,22.03
2010-11-02,119.42,120.11,119.1,119.49,128625300.0,119.46,363699,21.76
2010-11-03,119.68,120.02,118.45,120.01,200048800.0,119.397,612004,19.83
2010-11-04,121.28,122.32,121.13,122.26,183427700.0,121.762,485663,18.54
2010-11-05,122.34,122.92,122.18,122.74,150930500.0,122.516,441668,18.22
2010-11-08,122.34,122.69,121.94,122.54,118984700.0,122.344,335915,18.26
2010-11-09,122.82,122.95,121.12,121.6,174245400.0,122.059,489024,19.23
2010-11-10,121.58,122.16,120.66,122.09,190015800.0,121.441,530738,18.44
2010-11-11,121.05,121.82,120.68,121.66,136456900.0,121.263,392417,18.61
